Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres
618194,"Deathstalker Rebellion (Deathstalker, #2)",Simon R. Green,"Green, Simon R.",,0451455525,9780451455529,0,3.94,Roc,Mass Market Paperback,509,1996,1996,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|128;Fantasy|44;Space,Space Opera|27;Fiction|22;Science Fiction Fantasy|7;Adventure|4;Audiobook|4;Space|4;Science Fiction,Military Science Fiction|2;War|2"
509326,"Deathstalker Destiny (Deathstalker, #5)",Simon R. Green,"Green, Simon R.",,0451457560,9780451457561,0,4,Roc,Mass Market Paperback,421,1999,1999,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|82;Fantasy|32;Space,Space Opera|17;Fiction|14"
498513,"Deathstalker Honor (Deathstalker, #4)",Simon R. Green,"Green, Simon R.",,0451456483,9780451456489,0,3.97,Roc,Mass Market Paperback,526,1998,1998,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|100;Fantasy|33;Space,Space Opera|22;Fiction|17"
618195,"Deathstalker War (Deathstalker, #3)",Simon R. Green,"Green, Simon R.",,0451456084,9780451456083,0,3.97,Ace Books,Mass Market Paperback,523,2008,1997,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|116;Fantasy|36;Space,Space Opera|25;Fiction|16"
44735,The Elements of Typographic Style,Robert Bringhurst,"Bringhurst, Robert",,0881792063,9780881792065,0,4.24,Hartley & Marks Publishers,Paperback,352,2004,1992,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01",Design|589;Nonfiction|150;Reference|69;Art|67
2566624,Military Mavericks: Extraordinary Men of Battle,David Rooney,"Rooney, David",,0304356794,9780304356799,0,3.27,Cassell,Paperback,232,2001,2000,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Military,Military History|6;War,Military Fiction|5;History|4;War|2;Biography|2"
411073,National Geographic: The Photographs,Leah Bendavid-Val,"Bendavid-Val, Leah",,0870449869,9780870449864,0,4.35,National Geographic,Hardcover,400,1994,1994,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Art,Photography|111;Nonfiction|44;Art|43"
57618,Military Blunders: The How and Why of Military Failure,Saul David,"David, Saul",,0786705043,9780786705047,0,3.58,Basic Books,Paperback,384,1998,1997,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","History|22;Nonfiction|14;Military,Military History|10;War,Military Fiction|4;War|2"
662671,"First to Fight (Starfist, #1)",David Sherman,"Sherman, David",Dan Cragg,0345406222,9780345406224,0,3.74,Del Rey,Mass Market Paperback,378,2002,1997,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|85;Fiction|22;War,Military Fiction|21"
662676,"School of Fire (Starfist, #2)",David Sherman,"Sherman, David",Dan Cragg,0345406230,9780345406231,0,3.88,Del Rey,Paperback,338,1998,1998,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|46;War,Military Fiction|18;Fiction|13"
